Subject,day,group,NumHBs,Occupancy,Entries,Distance2Cue,NumStops,AvgVelocity,area,avgStopDist,numCloseStops,clos2cue,time2hb,timeInCue,avgStopDuration
1,D1,Tg,2,1127.3,4,98.1739998785822,14,0.583571754580788,133.24,30.5578092273173,26,0,543,0,79.2619047619048
1,D2,Tg,1,1200.66666666667,5,173.706081220337,13,0.64157816788383,52.4533333333333,19.7100907960497,28,0,118.333333333333,0,91.5666666666667
2,D1,Tg,1,1733.13333333333,7,8.54448133962999,70,1.15470945583178,101.626666666667,5.80700535103773,77,1,26.8,1106.03333333333,23.1842857142857
2,D2,Tg,1,1582.4,5,156.994200035675,25,0.548143121558779,94.6533333333333,22.0441131760897,40,0,91.4666666666667,0,61.9133333333333
3,D1,Tg,3,762.066666666667,5,143.140608272809,15,0.677349531488514,84.1733333333333,30.5023247487321,32,0,258.7,1.03333333333333,49.3133333333333
3,D2,Tg,2,1422.86666666667,11,161.24164257315,30,0.722349797220124,145.226666666667,24.2002198051125,32,0,110.866666666667,0,46.1733333333333
4,D1,Tg,1,1692.26666666667,9,10.0992751506055,73,0.897300976211091,80.6733333333333,7.7409875382926,76,1,87.7,1506.53333333333,21.9470319634703
4,D2,Tg,3,771.9,8,177.371393756326,30,0.843146884962125,116.58,64.4135225130457,33,0,26.3333333333333,17.5,24.4566666666667
5,D1,Tg,1,1448.46666666667,8,174.87618866084,30,0.708327783180238,91.7533333333333,25.8564835467654,44,0,98.0666666666667,0,47.0244444444444
5,D2,Tg,1,1578,5,161.951050619601,26,0.635389532058687,99.4733333333333,27.4093929375882,32,0,46.9333333333333,0,59.4179487179487
6,D1,Tg,3,615.233333333333,6,156.740454907739,16,0.708543783234697,74.7933333333333,58.2915681831569,26,0,37.5666666666667,1.3,36.9416666666667
6,D2,Tg,2,941.066666666667,7,173.012043551467,30,0.944389504848836,126.54,29.6324595584506,32,0,20,0,29.7944444444444
7,D1,Tg,3,812.4,6,98.8780867364402,21,0.715958930431874,84.0666666666667,70.5299697467322,33,0,107.6,657.166666666667,37.4222222222222
7,D2,Tg,1,1148.56666666667,5,12.5424716041081,12,0.496840114625562,60.2,78.1315811952935,16,1,28.6,149.466666666667,94.225
8,D1,Tg,1,1339.03333333333,14,173.334244249539,39,0.935880299161554,122.266666666667,34.5527961447476,56,0,54.6666666666667,11.8333333333333,32.2871794871795
8,D2,Tg,3,687.033333333333,10,169.390655686319,26,1.00637329643829,137.493333333333,60.1912007597986,28,0,388.7,104.9,24.4730769230769
9,D1,Tg,1,1340.76666666667,16,1.05193319807316,80,1.1658576346962,73.18,9.42189245633904,114,1,22.0666666666667,1532.8,15.3545833333333
9,D2,Tg,5,471.233333333333,16,6.84009068875508,44,2.08255124857896,176.72,82.4268129486833,52,1,7.3,367.6,8.65227272727273
10,D1,Tg,2,1101.46666666667,10,6.71236095552135,65,1.18149903069397,123.606666666667,43.3703574007709,77,1,106.966666666667,1150.7,15.5492307692308
10,D2,Tg,2,716.233333333333,8,167.35833960642,32,1.08577543544046,108.873333333333,90.6770782326466,37,0,195.166666666667,101.366666666667,21.290625
11,D1,Tg,3,488.7,3,144.290830767441,8,0.65303321965825,101.746666666667,85.6922865897224,12,0,142.833333333333,236.4,58.6541666666667
11,D2,Tg,3,638.033333333333,1,173.724842549246,11,0.821306732043644,65.1133333333333,81.8413516003442,12,0,72.6666666666667,39.8,57.1151515151515
12,D1,Tg,2,841.133333333333,6,153.43688159631,18,0.678504138196255,64.38,19.782402406269,36,0,60.6333333333333,0,45.487037037037
12,D2,Tg,1,1759.33333333333,5,149.382880086473,15,0.489011396606778,85.4466666666667,16.0831983169696,16,0,36.3333333333333,0,116.577777777778
13,D1,Wt,2,1045.93333333333,2,174.503247872428,10,0.690004919702823,77.2666666666667,38.8542769351086,14,0,20.5333333333333,0,103.51
13,D2,Wt,1,1632.76666666667,8,157.290336039993,46,0.798327443605459,62.42,23.0982251421022,52,0,39.9,13.1333333333333,34.368115942029
14,D1,Wt,1,1401.5,10,7.37680770908405,53,1.05602910592366,77.4933333333333,14.0939352930656,72,1,44,1675.73333333333,25.4012578616352
14,D2,Wt,1,1405.53333333333,4,172.953021999039,26,0.68596632364717,78.0466666666667,33.5553773778961,33,0,100.033333333333,0,52.8064102564103
15,D1,Wt,3,564.266666666667,8,176.450918221216,20,1.06303683460951,94.8266666666667,37.1565787116425,28,0,128.733333333333,0,26.1966666666667
15,D2,Wt,2,767.233333333333,5,150.92028109078,15,0.719913728603832,70.18,50.0775184276094,24,0,50.3333333333333,0,49.5711111111111
16,D1,Wt,1,1606.9,10,11.2051371396596,68,1.14952275154687,74.6466666666667,12.5482850891905,87,1,85.6666666666667,1570.03333333333,22.078431372549
16,D2,Wt,1,1519.16666666667,5,9.80978165340375,18,0.663155487466953,70.5533333333333,15.362992135009,25,1,104.533333333333,93.9666666666667,83.3
17,D1,Wt,2,1373.9,5,162.498488299041,23,0.72150982309153,131.906666666667,20.8851869621463,29,0,71,0,57.9782608695652
17,D2,Wt,2,796.733333333333,8,5.29688926472881,14,0.763118444853168,71.8333333333333,52.9907978479382,24,1,78.4666666666667,885.5,55.6142857142857
18,D1,Wt,2,1195.43333333333,9,10.9580931651413,18,0.642487319260772,70.3,12.9240632220084,35,1,27.6666666666667,715.433333333333,65.1296296296296
18,D2,Wt,1,1692.36666666667,4,165.551892423861,8,0.423348475522906,68.0266666666667,22.9149122699548,16,0,82.6666666666667,0,210.008333333333
19,D1,Wt,1,1688.73333333333,8,4.47264492316529,74,1.1213206199946,180.766666666667,18.5286227076789,76,1,93.3666666666667,1507.1,21.3693693693694
19,D2,Wt,3,650.666666666667,5,177.357697001748,16,0.891820392880365,86.0733333333333,79.1524809859196,23,0,153.133333333333,17.5,39.1270833333333
20,D1,Wt,2,1076.03333333333,8,8.93125118748057,25,0.895351169504381,79.5466666666667,30.398345465753,71,1,221.2,937.733333333333,41.4546666666667
20,D2,Wt,2,761.6,5,171.71937856012,11,0.614875917136583,59.2866666666667,33.1669751133958,35,0,46.1,11,67.7787878787879
21,D1,Wt,2,853.533333333333,4,7.02945566218147,30,0.961424818255615,71.2466666666667,52.2303475407177,46,1,855.533333333333,516.566666666667,27.3244444444444
