Subject,day,group,pathL,searchArea,runSpeed,runAngVel,stopAngVel,numRuns,numStops,outside_hb_stop,CueEntries,CueStops,runAcell
1,D1,Tg,1419.70470648881,0.115888382687927,11.2562800386179,74.8351221782009,14.2719891729115,40,53,0.245283018867925,0,0,15.0891946183544
1,D2,Tg,297.743443565727,0.0296127562642369,8.40882056474229,65.1705467550598,14.6155167859552,12,35,0.8,0,0,10.6896670966525
2,D1,Tg,1140.24584096045,0.0415717539863326,8.70507096880854,79.8934986558499,19.7753971855063,40,79,0.987341772151899,22,28,15.1281443067701
2,D2,Tg,995.503664827957,0.0706150341685649,9.89633131561217,62.2295438828142,19.8684442108139,31,54,0.759259259259259,0,0,14.9537599434668
3,D1,Tg,1463.71752586886,0.0834282460136674,9.90084612235423,56.2890627288222,20.3208696081146,41,64,0.015625,0,0,15.178128061471
3,D2,Tg,751.548848101874,0.0432801822323462,9.18801108424019,53.6407009176777,15.8856818655334,32,53,0.207547169811321,0,0,15.560308928956
4,D1,Tg,1124.17700576386,0.0546697038724374,8.59222081575453,88.434823948841,25.8871491991807,45,85,0.905882352941176,36,47,13.9823438560807
4,D2,Tg,2647.89599267455,0.215261958997722,14.303684961109,62.7631448666352,13.6812207557586,51,77,0,2,3,17.3450044415498
5,D1,Tg,1324.37230917059,0.0914009111617312,9.48407708794766,68.8017143080789,12.9964710608905,53,72,0.611111111111111,0,0,15.1612135902723
5,D2,Tg,645.665121387149,0.0438496583143508,8.85021317056192,61.6565861803533,16.1359527112785,27,54,0.592592592592593,0,0,12.3362354519
6,D1,Tg,2564.14587796219,0.191628701594533,12.2512289028088,70.4788118634965,22.7213241580771,59,80,0,0,0,14.8470046143087
6,D2,Tg,1392.11373033313,0.0646355353075171,10.9891213666379,53.6763716075288,16.0407798520355,36,55,0,0,0,15.6857305509172
7,D1,Tg,2625.87355483119,0.15746013667426,10.0155577146187,79.7761723253184,17.4570066575324,81,104,0,20,37,14.4980239466972
7,D2,Tg,1698.53101797292,0.108200455580866,11.8063938351695,66.7757740468848,23.5564156633823,35,63,0.26984126984127,9,13,15.1135875778284
8,D1,Tg,3063.0072764363,0.149202733485194,11.5040479061254,57.5206291637816,14.4558301422181,74,91,0.626373626373626,0,0,14.5233827435462
8,D2,Tg,1870.3456810658,0.115318906605923,10.3055412208799,50.7765900364376,14.6618543517832,60,80,0.0125,3,2,12.3855119606244
9,D1,Tg,2722.57759978776,0.138667425968109,10.9593078782229,74.0079743956797,24.387253397229,81,129,0.883720930232558,44,115,15.5147293368996
